HolderAddress,Balance,PendingBalanceUpdate,,"{""address"":[",,0,,
0xeccd6b203dd6722d6015181a8d500de04c674f31,3.00E-18,No,"0x06bb19b56e84c28c4e62b3d6e582cb772961a926,","0x06bb19b56e84c28c4e62b3d6e582cb772961a926,",0x06bb19b56e84c28c4e62b3d6e582cb772961a926,0,,
0x0000007c68390193776e8b44df3b698d311070b9,4.00E-18,No,"0x0813834eeebbba6ea50aafc05e7d509189880ce9,","0x0813834eeebbba6ea50aafc05e7d509189880ce9,",0x0813834eeebbba6ea50aafc05e7d509189880ce9,0,,
0x9430f20055f4c6477a24815dbfa88edee7c83a64,4.00E-18,No,"0x342183f270dfc12a4eaf1b0296bd8ed1c314f831,","0x342183f270dfc12a4eaf1b0296bd8ed1c314f831,",0x342183f270dfc12a4eaf1b0296bd8ed1c314f831,0,,
0xc9b88b22179a5ba74a372f9e5fbdb23fe331bb86,5.00E-18,No,"0xb027ebdc1840710d257feaf74efe9bb50bbc7e0b,","0xb027ebdc1840710d257feaf74efe9bb50bbc7e0b,",0xb027ebdc1840710d257feaf74efe9bb50bbc7e0b,0.437628571,,
0x000000000bdbd514fd0ebb5b5773e006145d5140,5.00E-18,No,"0x79a1eb79eda7eb7ad1d5ca892a856d5b7cfec7f2,","0x79a1eb79eda7eb7ad1d5ca892a856d5b7cfec7f2,",0x79a1eb79eda7eb7ad1d5ca892a856d5b7cfec7f2,0,,
0xbcc7f6355bc08f6b7d3a41322ce4627118314763,5.00E-18,No,"0x607afa2a44a3a1a06cc6e224998226b9cd7e8192,","0x607afa2a44a3a1a06cc6e224998226b9cd7e8192,",0x607afa2a44a3a1a06cc6e224998226b9cd7e8192,0,,
0x8d2d0a58e800740ac760bc5756492ddf9052a5aa,6.00E-18,No,"0x004c1cffe24ffc208048dfc320257e6dabed5e66,","0x004c1cffe24ffc208048dfc320257e6dabed5e66,",0x004c1cffe24ffc208048dfc320257e6dabed5e66,0,,
0x192e769ff172b8b24dda7c466e4b1e81e30534c3,6.00E-18,No,"0x2489ab9b09625b593beb82a53381ee4a90fb5eea,","0x2489ab9b09625b593beb82a53381ee4a90fb5eea,",0x2489ab9b09625b593beb82a53381ee4a90fb5eea,1.469327082,,
0x18bd757000dc39828afa8079cbaf0e65707904d0,6.00E-18,No,"0x278f5a16c7d287156c5934fc25de5e051cc6908c,","0x278f5a16c7d287156c5934fc25de5e051cc6908c,",0x278f5a16c7d287156c5934fc25de5e051cc6908c,0,,
0xbe9ea6bff7158caf06393ca3dd7a4bd4e60da0f6,7.00E-18,No,"0x0eaab2507d9b49f7c6e2ad726e4335a01706904f,","0x0eaab2507d9b49f7c6e2ad726e4335a01706904f,",0x0eaab2507d9b49f7c6e2ad726e4335a01706904f,0,,
0xb57448e48820e255baffa2edebc7e3ac4487be86,9.00E-18,No,"0xe07a52575663de47c08db08a2513b3c628ea4a8a,","0xe07a52575663de47c08db08a2513b3c628ea4a8a,",0xe07a52575663de47c08db08a2513b3c628ea4a8a,4.367444643,,
0x90cf79f90aeca1e5a7652a9fdc4c2dc98e995a17,1.00E-17,No,"0x3b0c10af62f5ab10d1e396e6100aa33c436fc293,","0x3b0c10af62f5ab10d1e396e6100aa33c436fc293,",0x3b0c10af62f5ab10d1e396e6100aa33c436fc293,0,,
0x5bcc44d6962ad2e35b54a8d0614f6307768d8eb1,1.00E-17,No,"0xa77854908a52e3ecfe8c713d51ebbbcae9fd66ef,","0xa77854908a52e3ecfe8c713d51ebbbcae9fd66ef,",0xa77854908a52e3ecfe8c713d51ebbbcae9fd66ef,0,,
0x66584fe13312910de05e0da1eb44b9cc747fb514,1.30E-17,No,"0x106c927d49097f50ea0262027e2335673302687c,","0x106c927d49097f50ea0262027e2335673302687c,",0x106c927d49097f50ea0262027e2335673302687c,0,,
0xbe7395d579cba0e3d7813334ff5e2d3cfe1311ba,1.90E-17,No,"0x2d0e9e8197c541704ead0aeb35ef5f03dc35bc6d,","0x2d0e9e8197c541704ead0aeb35ef5f03dc35bc6d,",0x2d0e9e8197c541704ead0aeb35ef5f03dc35bc6d,0,,
0x0000000000d41c96294ccdac8612bdfe29c641af,2.70E-17,No,"0xc112345131d7ffed76153170cf82f32c74e44dae,","0xc112345131d7ffed76153170cf82f32c74e44dae,",0xc112345131d7ffed76153170cf82f32c74e44dae,0,,
0x00000000500e2fece27a7600435d0c48d64e0c00,2.70E-17,No,"0x7c14956ac699c2a64c5722289eb32eee69070937,","0x7c14956ac699c2a64c5722289eb32eee69070937,",0x7c14956ac699c2a64c5722289eb32eee69070937,0,,
0x000000000000294a0d3b43ec78199a84587ae012,2.70E-17,No,"0x7dafcf61644b4d83578556f91be03b2ce86eec42,","0x7dafcf61644b4d83578556f91be03b2ce86eec42,",0x7dafcf61644b4d83578556f91be03b2ce86eec42,0,,
0x0000000099cb7fc48a935bceb9f05bbae54e8987,3.60E-17,No,"0x6c38bace22626f8dd8199c0f29bbd3b8c58281d4,","0x6c38bace22626f8dd8199c0f29bbd3b8c58281d4,",0x6c38bace22626f8dd8199c0f29bbd3b8c58281d4,0,,
0x79d70f45052b64ad1ac03a720e2013781c5a93cc,4.90E-17,No,"0x18d26a6e4742a0f8c63a7ad5c0692319e11feb42,","0x18d26a6e4742a0f8c63a7ad5c0692319e11feb42,",0x18d26a6e4742a0f8c63a7ad5c0692319e11feb42,0,,
0x66f049111958809841bbe4b81c034da2d953aa0c,5.20E-17,No,"0x9e4be1b432164ac98dafa01dfea35527680bbe18,","0x9e4be1b432164ac98dafa01dfea35527680bbe18,",0x9e4be1b432164ac98dafa01dfea35527680bbe18,0,,
0x000000c52b33fa71614810224771dc8f3255b220,5.30E-17,No,"0xed1f9506b111fff37dc4fe78a8e62443e97bdd47,","0xed1f9506b111fff37dc4fe78a8e62443e97bdd47,",0xed1f9506b111fff37dc4fe78a8e62443e97bdd47,0,,
0x54f2d57856e44dcf81880df34df300d145cc7d57,5.60E-17,No,"0xb8dcd1681be691ed3ef9c847a6571693cb718535,","0xb8dcd1681be691ed3ef9c847a6571693cb718535,",0xb8dcd1681be691ed3ef9c847a6571693cb718535,0,,
0x9690f7e8fc67e1f62109b58da797c0ec78cdced7,6.70E-17,No,"0xb118c3f69f89f741435d88ac5c1ecb7c31b017cc,","0xb118c3f69f89f741435d88ac5c1ecb7c31b017cc,",0xb118c3f69f89f741435d88ac5c1ecb7c31b017cc,0,,
0xcfba0ea4e8e01c74842d3150a4cbca2e0bc41a5d,8.30E-17,No,"0xfdee5b95fcdf58a97ddff3b2c21b5f4ad89327e3,","0xfdee5b95fcdf58a97ddff3b2c21b5f4ad89327e3,",0xfdee5b95fcdf58a97ddff3b2c21b5f4ad89327e3,0,,
0xf175b78603391cf9e7c727122ce23f87cab90613,8.40E-17,No,"0xd1ec2b4463ba276969dc7afdce85d0ce3b7e276a,","0xd1ec2b4463ba276969dc7afdce85d0ce3b7e276a,",0xd1ec2b4463ba276969dc7afdce85d0ce3b7e276a,0,,
0x00000000b7ca7e12dcc72290d1fe47b2ef14c607,1.22E-16,No,"0xd966ea487f1600a15f78196714c7f63a0178644e,","0xd966ea487f1600a15f78196714c7f63a0178644e,",0xd966ea487f1600a15f78196714c7f63a0178644e,0.000944643,,
0x23737f9b6a48c43b483a3aafc6a03589e8d07195,1.37E-16,No,"0xbccbf37e9ec76fa2e7818fe332cb5ad25a1d15bf,","0xbccbf37e9ec76fa2e7818fe332cb5ad25a1d15bf,",0xbccbf37e9ec76fa2e7818fe332cb5ad25a1d15bf,0,,
0x000000000035b5e5ad9019092c665357240f594e,1.60E-16,No,"0xa262be30991c45278fa996a7b72b879d602a21da,","0xa262be30991c45278fa996a7b72b879d602a21da,",0xa262be30991c45278fa996a7b72b879d602a21da,0,,
0x000000005736775feb0c8568e7dee77222a26880,1.74E-16,No,"0xe53a8ed8c1396bbb127c2124bcb44b39c21f0721,","0xe53a8ed8c1396bbb127c2124bcb44b39c21f0721,",0xe53a8ed8c1396bbb127c2124bcb44b39c21f0721,0,,
0x781f4e33f9717b23ec4c859df776718684427223,2.18E-16,No,"0x822ca1f208acbec2c6b293aa59d456ad4bb40be3,","0x822ca1f208acbec2c6b293aa59d456ad4bb40be3,",0x822ca1f208acbec2c6b293aa59d456ad4bb40be3,0,,
